"Ler1"	"Ler2"	"Kas1"	"Kas2"
"AT4G27300"	3.59605481304457	3.09880486529057	5.23338979067843	4.90245191498824
"AT1G76100"	6.96523074542774	6.887527198349	7.88324642793725	8.10784031637598
"AT1G43190"	5.27017526800755	5.13821077486496	6.75859113303769	6.82996448146784
"AT2G02930"	5.21551127446804	5.25608557177408	7.55215757658268	7.58869721001313
"AT5G25440"	7.56947833835406	7.37143290670425	9.19810382341725	9.06588639900003
"AT3G12580"	8.48361626024587	8.44512816741003	9.49076232492566	9.5655801136382
"AT2G30020"	6.9189715413339	6.97016158249544	8.43179544865631	8.13032367786152
"AT5G63040"	5.07450724790103	5.18328995492354	7.26161591221489	7.06665601993572
"AT3G54960"	7.65465404166245	7.69792442157671	9.20104980326106	9.23120422776138
"AT1G76970"	6.43804585468686	6.23449135164267	7.9896556504564	7.95738198246363
"AT3G62780"	4.37657266581149	4.00382884277249	5.54964312568424	5.08657094087023
"AT1G58420"	5.19410346672219	5.64991794561087	7.0489392254707	6.68520237894121
"AT2G25170"	4.11608337975885	3.10461523569158	5.28340101927207	4.81645908062327
"AT3G48330"	3.36239568404322	3.16351755321413	4.60621990472499	4.22755229301476
"AT2G38470"	5.32397340853801	4.78677684094897	6.89969337648084	7.13878341508987
"AT3G51470"	3.03981506697768	1.85599121322971	3.99130638593282	3.39186298730702
"AT1G03160"	-0.889026726411261	4.09637476359655	3.82657399152025	2.07385911203991
"AT2G07180"	5.95897340516329	5.14378114703237	6.60695518858365	6.62177917441049
"AT4G07868"	3.79792791268059	4.48604527320006	9.37802379053563	9.00430335609425
"AT5G26830"	4.42554349969669	3.95764665303473	5.64956605134759	4.94980834304428
"AT4G02920"	6.55061283368795	6.35633851178995	9.46569848298322	9.54339694834345
"AT1G67700"	7.4982426674447	6.8225849682108	10.8396838563678	10.7473977108121
"T20841"	4.32634869679221	3.60462043804916	8.64890941926949	8.07929046241549
"AT4G31870"	6.04369291748254	5.55409484442681	7.15278823679114	6.77058219335927
"AT2G05630"	8.0013125349639	7.76195176597346	9.61072173324228	9.4568848852201
